Site ,LatestName,incedentDate,Quarter,Year,Level,Text,Lat,Lon
Torness - British Energy (BE),,N/A,Q3 02,2002,N/A,"<p>The sudden and extensive failure of a gas circulator at Torness in\r\n May 2002 was thought, from forensic evidence, to be linked to the\r\n development of an unexpected fatigue related crack in part of the\r\n impeller. In August, another gas circulator on the other Torness\r\n reactor showed signs of increasing vibration and was promptly shut\r\n down by the operators. Its subsequent disassembly revealed a fully\r\n developed fatigue related crack in a similar position to the first\r\n failure, but the prompt shutdown had prevented consequential\r\n damage.</p>\r\n\r\n <p>Following the initial failure, British Energy (BE) increased the\r\n attention given to circulator vibration monitoring. As a result of\r\n the second failure, more extensive routine monitoring of circulator\r\n characteristics is being undertaken and more extensive circulator\r\n monitoring equipment is being fitted to allow efficient, cross-fleet\r\n monitoring of circulator behaviour. Activities in this area are being\r\n brought up to best practice standards.</p>\r\n\r\n <p>Inspectors from HSE&#39;s Nuclear Installations Inspectorate (NII)\r\n monitored the recovery of the first failed circulator and its\r\n examination by BE specialists, and BE&#39;s examination of the fixed\r\n structure for any signs of damage. Agreement to replace the failed\r\n generator was given by HSE when it was satisfied that there was no\r\n structural damage to the reactor. As the second failure did not\r\n result in the disintegration of the circulator impeller there was no\r\n damage to the reactor structure.</p>\r\n\r\n <p>With the discovery of a systematic and comparatively frequent\r\n failure mechanism, safety concerns increased and NII required a\r\n revised and extended safety case to cover operations. This\r\n incorporated forewarning of failure by early and effective detection\r\n of changes in vibration patterns together with recognition of the\r\n need to shut down any affected circulators before major failure and\r\n consequential challenge to the circulator casing occurs.</p>\r\n\r\n <p>BE has inspected all gas circulator impellers in service at\r\n Torness and found no evidence of developing defects. Only a limited\r\n number of impellers have been inspected at Heysham 2, but again no\r\n defects have been found. BE has provided acceptable interim safety\r\n cases justifying continued operation of the reactors at Torness and\r\n at its sister station Heysham 2, and will produce, in the spring of\r\n 2003, final safety cases incorporating all the findings from its\r\n inquiry into the failures and changes introduced in the light of the\r\n events at Torness.</p>",55.96825,-2.40659
Harwell (United Kingdom Atomic Energy Authority),,06/11/02,Q4 02,2002,N/A,"<p>On 6 November 2002 during operations in a glove box in B220, the\r\n over pressure alarm sounded. The operators evacuated and shortly\r\n afterwards the airborne activity monitors also sounded. The building\r\n emergency arrangements for airborne activity alarms was initiated to\r\n ascertain the source and to manage the operations. An investigation\r\n by UKAEA confirmed that a release of Americium 241 into the working\r\n area had occurred at a quantity in excess of Schedule 8 column 4 of\r\n the Ionising Radiations Regulations 1999 (IRRs). A number of\r\n personnel have received intakes including the two operators and the\r\n health physics personnel who attended the event. The highest dose (up\r\n to 6 mSv.) was received by the Health Physics charge hand.</p>\r\n\r\n <p>UKAEA placed an embargo on the use of similar systems and have\r\n completed their own management investigation and produced an internal\r\n report. It concludes that the likely cause of the event was\r\n over-pressurisation of the vacuum equipment used in the process. The\r\n report also highlights improvements required to the ventilation\r\n system in the laboratory and adjoining areas. An action plan has been\r\n developed for this work and progress is being made.</p>\r\n\r\n <p>NII has followed the UKAEA investigation and carried out its own\r\n study including a visit by a ventilation specialist. This has\r\n confirmed the problems with the ventilation system. It is a complex\r\n issue that may have a wider impact across the building. A letter has\r\n been sent to UKAEA detailing a series of short-term requirements and\r\n the need to review implications and produce a longer-term action\r\n plan. UKAEA is cooperating fully with these requirements.</p>",,
Dounreay (United Kingdom Atomic Energy Authority),,12/11/02,Q4 02,2002,0,"<p>On 12 November 2002, two contractors leaving the D2001\r\n Intermediate Level Waste Processing facility were found to have\r\n contaminated shoes and one had contamination on his hands. All\r\n personnel in the building were withdrawn and monitored, and as a\r\n result contamination was revealed on the shoes of a further fifteen\r\n individuals. Of these, one other person had contamination on his\r\n hands and face. The two individuals with personal contamination were\r\n sent to the Occupational Health Department where decontamination was\r\n successfully carried out the following day.</p>\r\n\r\n <p>In parallel with UKAEA&#39;s investigation, an investigation into\r\n the incident was carried out by NII commencing at site on 13 November\r\n 2002. The investigation concluded that the source of the\r\n contamination was the leakage of a small quantity of contaminated\r\n Zinc Bromide liquid from a flask. This had been swabbed up from the\r\n inside of a shielded waste cell and placed in a waste container which\r\n was then posted out of the cell into the flask for processing and\r\n consignment for storage. The flask, waste container and the\r\n associated bagging system is not designed to provide containment of\r\n free liquids and the Zinc Bromide leaked to the outside of the flask\r\n and was spread around the working area on the shoes of the\r\n workers.<br />\r\n <br />\r\n The actual doses received by the individuals affected by the incident\r\n were confirmed to be very low. In addition, checks of the discharge\r\n stack monitors concluded that there was no evidence of a release to\r\n the environment.<br />\r\n <br />\r\n NII&#39;s investigation report revealed a number of shortcomings\r\n which are being addressed by UKAEA. An Improvement Notice was served\r\n under the Ionising Radiation Regulations 1999 (IRRs) requiring\r\n improvements to be made to the flasking system design and\r\n operations.</p>\r\n\r\n <p>The incident has been classified as Level 0 on the International\r\n Nuclear Event Scale.</p>",,
Hartlepool (British Energy),,09/06/04,Q2 04,2004,N/A,"<p> On 9 June 2004 a flange leaked within the equipment used to handle tritrated water (i.e. water in which some of the hydrogen atoms are in the form of the radioactive isotope tritium) in the radioactive effluent treatment plant (RAETP) at Hartlepool power station. Approximately 900 litres of liquor were released. The station declared a site incident, which was stood down on 13 June after the affected areas had been restored to normal access conditions . During this time access to the affected area was controlled by the station to prevent unauthorised access to the contaminated areas and thus ensure that doses to workers were properly controlled. </p>\r\n <p> The leak was retained within the bunded RAETP and discharged through authorized discharge routes, except for a small quantity, which escaped through evaporation. Assements by both station and the Environment Agency demonstrated that: a) doses to workers were only a small percentage of the annual limits; and b) the off-site dose was insignificant. </p>\r\n <p> British Energy immediately set up a Divisional Panel of Inquiry and the details of the event and the lessons learned were promulgated to all sites. The Nuclear Installations Inspectorate and Environment Agency have conducted a joint investigation. The EA has advised station that it does not intend to prosecute. The NII is due to report shortly but is also expected to advise station that it will not prosecute. </p>",,
Bradwell (Magnox Electric),,14/04/04,Q2 04,2004,N/A,<p> On 14 April 2004 there was a release of radioactivity in the reactor building at Bradwell Power station operated by Magnox Electric plc. </p>\r\n <p> The incident occurred while preparations were being made to lower a camera into the reactor which was to be used to observe some modified equipment for defuelling. The operation involved opening a set of valves and the wrong valve was opened which lead to the release because unexpectedly the reactor was under pressure. The contamination alarm sounded but there was some delay before the area was evacuated. </p>\r\n <p> 6 members of staff received small doses of radiation below legal limits. The incident is still under investigation by NII. </p>,,
Sellafield (British Nuclear Group Sellafield Limited),,13/02/05,Q1 05,2005,N/A,"<p> On 13 February 2005, three staff were contaminated whilst changing a thermocouple on Thorp Head End Dissolver vessel C. The risk assessment for the work did not anticipate a breach of containment, as the design intent was for the thermocouple separated from the dissolved nuclear fuel by being located inside a sealed tube called a 'thermowell'. This intent was not achieved. After initial incident, whilst seeking reassurance monitoring, the workers spread contamination to various plant areas and were then taken to site surgery for decontamination. The workers were contaminated on the face and hands and decontamination of the hands continued over several days. BNGSL have advised NII that no statutory dose limits were exceeded, although one worker received an extremity dose greater than 10% of the annual statutory limit. </p>\r\n <p> On the day of the event, the Thorp Incident Control Centre was set up and plant access restricted until decontamination was complete. Investigations indicated that there was a slight leak in the Dissolver C thermowell, which appears to have allowed contamination in-seepage. Following completion of the BNGSL investigation, a second barrier was engineered around the thermowell pocket and the dissolver was returned to normal operations. </p>\r\n <p> BNGSLâ\u0080\u0099s analysis of the amount of contamination on the thermocouple and the smaller amount contaminating the people and spread on plant, indicated a spillage which exceeded Ministerial reporting criteria by virtue of the Ionising Radiations Regulations 1999, Schedule 8, column 4. BNGSL advised NII that they were reporting this event under these criteria. </p>",54.4193,-3.4874
Sellafield (British Nuclear Group Sellafield Limited),,01/04/05,Q2 05,2005,3,"<p>  On the 20 th April 2005 British Nuclear Group Sellafield Ltd, (BNGSL), the licensee, discovered a leak which had occurred within the Thorp Head End Feed Clarification Cell. The leak was from pipe-work to a vessel designated an Accountancy Tank that held dissolved fuel in nitric acid solution while accountancy calculations were made. The leak was estimated at 83 cubic metres. HSE/NII was informed of the leak later the same day. </p>\r\n <p> The relevant plant and operations including fuel shearing were promptly shut down by BNGSL. Some down-stream parts of the plant were subsequently restarted, after discussion with NII, in order to drain other tanks in the same cell which had liquor held within them when the plant was shut down. </p>\r\n <p> The leak was into a stainless steel clad, heavily shielded cell designed to contain such leaks, and there has been no indication that any liquid leaked from the cell. Plant radiation monitoring showed that there was neither abnormal radioactivity in air nor radioactivity released to the environment as a result of this event. BNGSL has concluded that no workers or members of the public have been affected. </p>\r\n <p> Camera inspections within the cell showed that other pipe work and vessels within the cell showed no sign of leakage. BNGSL criticality assessors concluded that a criticality was not possible based on the properties of the leaked liquor. </p>\r\n <p> On notification of the event, NII set up an internal review group to consider the adequacy of the actions taken to recover the situation. NII was kept fully informed of recovery plans and monitored the situation closely to ensure that safety remained assured. The cell has built-in equipment for the recovery of any leaked liquor back into primary containment tanks and all the leaked liquid has now been recovered this way. NII is satisfied that the plant remains in a safe state and that there have been no harmful effects to people or the environment. Liaison was maintained throughout with the Environment Agency. </p>\r\n <p> BNGSL evaluated this event as INES category 3, because of the significant release of radioactivity into the secondary containment. </p>\r\n <p> Subsequent to the completion of the â\u0080\u0098make safeâ\u0080\u0099 operations, an NII team commenced an investigation at the site on 16 th May 2005. The preliminary findings led NII to issue two Improvement Notices on 17 th June 2005 to ensure that BNGSL promptly rectified deficiencies in compliance with nuclear site licence conditions relating to the operation of the THORP Feed Clarification Cell. The Improvement Notices compel BNGSL to improve compliance in the areas of leak detection, operating instructions, record keeping and maintenance and testing of safety related equipment. The NII investigation is continuing, but it is too soon to say whether this will result in further regulatory action. </p>\r\n <p> In the meantime, BNGSL is considering options for the restart of the plant and has liaised with regulators on its initial ideas, but a firm proposal has not yet been submitted. </p>",54.4193,-3.4874
Sellafield (British Nuclear Group Sellafield Limited),,04/12/05,Q4 05,2005,N/A,"<p> On 4 December 2005, British Nuclear Group Sellafield Ltd, (BNGSL), the licensee, detected high levels of radiation in some outcell areas of the Highly Active Liquor Evaporation and Storage (HALES) facility. This occurred during a routine operation to sample highly active liquor. </p>\r\n <p> The operation was stopped. Operators evacuated the building safely and quickly in accordance with instructions. Controlled reâ\u0080\u0091entries into the building were then carried out to define the scope of the problem and put in place appropriate contingency controls and recovery plans. </p>\r\n <p> There was no loss of primary containment and no environmental effects were found inside or external to the building. Restrictions were placed on the use of an adjacent building because of high background radiation levels but were later removed on successful completion of the recovery plans. </p>\r\n <p> Three operators carried out the sampling operation. They received radiation doses, which were elevated though well within legal limits. </p>\r\n <p> The source of the high radiation was traced to a small diameter wash line feeding the sampling plant. The line has since been cleared, restoring normal operating conditions except to local areas where some access restrictions remain. </p>\r\n <p> HSEâ\u0080\u0099s NII has conducted a preliminary investigation and BNGSL is conducting its own internal investigation. The root cause of the incident has not yet been established but on the basis of its own investigation, BNGSL has already recognised the need to improve its approach to learning from experience in HALES. NII will await completion of BNGSL's investigation before deciding whether enforcement action is warranted. </p>\r\n <p> NIl will seek engineered improvements to ensure the safety of future sampling operations. </p>",54.4193,-3.4874
Hunterston B Power Station - Reactor 3,,N/A,Q3 06,2006,N/A,"<p> Routine inspection of boiler tubes at Hunterston B Reactor 3, during its planned outage under Licence Condition 30, indicated a larger number of defects than was anticipated. The licensee is preparing a safety case to address the finding at Hunterston B Reactor 3, which remains shut down until NII issue a consent for restart of the reactor under Licence Condition 30. </p>",55.72269,-4.88997
Sellafield ,,N/A,Q4 06,2006,N/A,"<p>A formal investigation has been undertaken by NII into the incident involving a major injury accident (a broken arm, fractured ulna and crush injuries to the wrist) to one of BNGSL workers whilst maintaining equipment in the Waste Treatment Complex Supercompactor Glovebox Suite on the Sellafield Licensed Site. </p>\r\n    <p>The results of the investigation have given rise to concerns regarding BNGSLâ\u0080\u0099s arrangements for compliance with The Ionising Radiations Regulations 1999 (IRRâ\u0080\u0099s) and The Provision and Use of Work Equipment Regulations 1998 (PUWER).</p>\r\n    <p>Both the NII investigation and BNGSLâ\u0080\u0099s own Board of Inquiry have identified that several issues have arisen regarding the efficient working of the Supercompactor equipment. </p>\r\n    <p>These issues combined to promote degraded conditions and unreliability of the equipment and the requirement for frequent manual interventions. This resulted in the persons working on the plant being exposed to unacceptable risk from the serious and significant committed dose potential of a glove/skin puncture wound, as well as physical major injury. </p>\r\n    <p>NII investigation has shown that the unreliability stemmed from the equipment being used under conditions outside of its original design intent and not being maintained in efficient working order and in good repair.</p>\r\n    <p>BNGSL have responded cooperatively and proactively to both the Board of Inquiry report and the NII investigation and this has informed NII thinking with respect to the requirement for formal enforcement action. </p>\r\n    <p>An Improvement Notice is to be issued to enforce the necessary improvements required to make working on the Supercompactor Glovebox suite safe. </p>",54.4193,-3.4874
Dounreay,,20/05/07,Q2 07,2007,N/A,"<p>On 20th May 2007 UKAEA personnel performed a radiological survey of the inside of a  manhole that services an inactive drain line on the North West side of the Dounreay site. This is a part of the site where historic contamination is known to be  present. A contamination smear sample  from inside the manhole showed the presence of about 1.3kBq of alpha emitting radioactive material which was subsequently found to contain 60% plutonium/americium. The manhole was  sealed and the area designated as â\u0080\u0098radioactive contamination highâ\u0080\u0099. The quantity of plutonium on the smear sample was about 1000 times less than that of Column 4 of Schedule 8 of Ionising Radiations Regulations 1999.</p>\r\n    <p>As part of their investigation UKAEA placed a temporary enclosure over the manhole to provide an additional means of containing any plutonium present and to facilitate control over personnel entries to perform further radiological surveys. Surveys of the inside of the manhole were performed on 3rd July 2007, through the temporary enclosure by UKAEA  personnel wearing air fed suits. No further alpha contamination was found inside the manhole. UKAEAâ\u0080\u0098s investigation is still ongoing, but  is expected to conclude that there is no significant contamination inside the manhole, however the source of the plutonium contamination from the smear sample remains unknown.</p>\r\n    <p>The alpha contamination found on 20th June 2007 on a filter processing water  from a spring just outside the site boundary, but close to the contaminated manhole was investigated in depth. The investigation indicated that the initial result was spurious.</p>",,
